fecha,indicador,valor,unidad,fuente
2016-06-01,icg_utdt,2.613,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-05-01,icg_utdt,2.622,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-04-01,icg_utdt,2.72,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-03-01,icg_utdt,3.033,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-02-01,icg_utdt,2.862,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2016-01-01,icg_utdt,3.138,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-12-01,icg_utdt,1.797,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-11-01,icg_utdt,1.749,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-10-01,icg_utdt,1.909,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-09-01,icg_utdt,1.778,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-08-01,icg_utdt,1.917,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-07-01,icg_utdt,2.037,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-06-01,icg_utdt,1.937,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-05-01,icg_utdt,2.091,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-04-01,icg_utdt,1.896,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-03-01,icg_utdt,1.864,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-02-01,icg_utdt,1.653,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2015-01-01,icg_utdt,1.826,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-12-01,icg_utdt,1.636,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-11-01,icg_utdt,1.603,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-10-01,icg_utdt,1.647,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
